geoid,NAME,state,county,tract,households_total,median_income,hh_broadband_any,hh_no_internet,pct_broadband_any,pct_no_internet,pct_households_with_computer,pct_households_with_broadband_DP
36005023302,Census Tract 233.02; Bronx County; New York,36,5,23302,1082,69030.0,846,230,78.18853974121997,21.256931608133087,1.6,1082
36005023501,Census Tract 235.01; Bronx County; New York,36,5,23501,1211,19940.0,972,150,80.26424442609414,12.386457473162675,0.6,1211
36005023502,Census Tract 235.02; Bronx County; New York,36,5,23502,1703,41780.0,1424,251,83.61714621256607,14.73869641808573,2.3,1703
36005023600,Census Tract 236; Bronx County; New York,36,5,23600,566,52368.0,494,72,87.27915194346289,12.7208480565371,0.2,566
36005023702,Census Tract 237.02; Bronx County; New York,36,5,23702,317,34922.0,310,0,97.79179810725552,0.0,0.0,317
36005023703,Census Tract 237.03; Bronx County; New York,36,5,23703,1835,32892.0,1621,176,88.33787465940055,9.591280653950953,2.7,1835
36005023704,Census Tract 237.04; Bronx County; New York,36,5,23704,1392,32228.0,1192,96,85.63218390804597,6.896551724137931,3.4,1392
36005023800,Census Tract 238; Bronx County; New York,36,5,23800,802,64408.0,748,54,93.26683291770573,6.733167082294264,0.8,802
36005023900,Census Tract 239; Bronx County; New York,36,5,23900,2583,37543.0,2158,294,83.54626403406891,11.38211382113821,6.7,2583
36005024000,Census Tract 240; Bronx County; New York,36,5,24000,1319,68832.0,1221,75,92.57012888551934,5.686125852918878,9.8,1319
36005024100,Census Tract 241; Bronx County; New York,36,5,24100,2309,22361.0,2128,145,92.16110870506714,6.27977479428324,6.6,2309
36005024300,Census Tract 243; Bronx County; New York,36,5,24300,2007,30446.0,1716,63,85.50074738415545,3.1390134529147984,3.0,2007
36005024400,Census Tract 244; Bronx County; New York,36,5,24400,830,82083.0,812,18,97.83132530120481,2.1686746987951806,1.8,830
36005024501,Census Tract 245.01; Bronx County; New York,36,5,24501,1630,45900.0,1401,128,85.95092024539878,7.85276073619632,3.9,1630
36005024502,Census Tract 245.02; Bronx County; New York,36,5,24502,1256,60221.0,1204,35,95.85987261146497,2.786624203821656,0.4,1256
36005024600,Census Tract 246; Bronx County; New York,36,5,24600,774,97115.0,706,63,91.21447028423772,8.13953488372093,0.0,774
36005024700,Census Tract 247; Bronx County; New York,36,5,24700,735,48906.0,654,35,88.9795918367347,4.761904761904762,5.0,735
36005024800,Census Tract 248; Bronx County; New York,36,5,24800,1250,61210.0,1104,130,88.32,10.4,6.1,1250
36005024900,Census Tract 249; Bronx County; New York,36,5,24900,0,,0,0,,,-666666666.0,0
36005025000,Census Tract 250; Bronx County; New York,36,5,25000,905,109896.0,788,117,87.07182320441989,12.928176795580109,0.0,905
